category,key,description,speaker,text,portrait_slot,portrait_character,portrait_expression,portrait_facing,portrait_animation,portrait_path,note
ui,ui.save.slot_filled,Runtime UI text.,,槽位 {0}  {1}  {2}  {3},,,,,,,
ui,ui.save.slot_broken,Runtime UI text.,,槽位 {0}  存档损坏,,,,,,,
ui,ui.settings.text_speed,Runtime UI text.,,文本速度,,,,,,,
ui,ui.settings.auto_delay,Runtime UI text.,,自动间隔,,,,,,,
ui,ui.settings.volume,Runtime UI text.,,主音量,,,,,,,
ui,ui.settings.fullscreen,Runtime UI text.,,全屏显示,,,,,,,
ui,ui.settings.skip_unread,Runtime UI text.,,允许跳过未读文本,,,,,,,
ui,ui.settings.language,Runtime UI text.,,语言：{0},,,,,,,
ui,ui.settings.open_save,Runtime UI text.,,打开存档,,,,,,,
ui,ui.settings.open_load,Runtime UI text.,,打开读档,,,,,,,
ui,ui.settings.open_history,Runtime UI text.,,查看历史,,,,,,,
ui,ui.settings.reload_text,Runtime UI text.,,重载文案,,,,,,,
ui,ui.settings.delete_save,Runtime UI text.,,删除存档,,,,,,,
ui,ui.toast.no_save_start_new,Runtime UI text.,,没有找到可读取的存档，已开始新游戏。,,,,,,,
ui,ui.toast.no_progress_to_save,Runtime UI text.,,当前没有可保存的进度。,,,,,,,
ui,ui.toast.saved_slot,Runtime UI text.,,已保存到槽位 {0}。,,,,,,,
ui,ui.toast.loaded_slot,Runtime UI text.,,已读取槽位 {0}。,,,,,,,
ui,ui.toast.deleted_slot,Runtime UI text.,,槽位 {0} 已删除。,,,,,,,
ui,ui.toast.all_saves_deleted,Runtime UI text.,,本地存档已删除。,,,,,,,
ui,ui.toast.auto_on,Runtime UI text.,,自动播放：开,,,,,,,
ui,ui.toast.auto_off,Runtime UI text.,,自动播放：关,,,,,,,
ui,ui.toast.skip_on,Runtime UI text.,,跳过：开,,,,,,,
ui,ui.toast.skip_off,Runtime UI text.,,跳过：关,,,,,,,
ui,ui.toast.reloaded_story,Runtime UI text.,,已热重载剧本表。,,,,,,,
ui,ui.toast.reloaded_explore,Runtime UI text.,,已热重载探索点。,,,,,,,
ui,ui.toast.reloaded_text,Runtime UI text.,,已热重载文案。,,,,,,,
ui,ui.toast.cannot_save_on_title,Runtime UI text.,,标题界面不能存档。,,,,,,,
ui,ui.toast.empty_slot,Runtime UI text.,,槽位 {0} 没有存档。,,,,,,,
ui,ui.toast.no_languages,Runtime UI text.,,尚未配置多语言表。,,,,,,,
ui,ui.toast.language_changed,Runtime UI text.,,语言预设：{0},,,,,,,
explore,explore.bed,Explore hotspot button label.,,热点占位 01,,,,,,,
explore,explore.desk,Explore hotspot button label.,,热点占位 02,,,,,,,
explore,explore.living_room,Explore hotspot button label.,,热点占位 03,,,,,,,
explore,explore.entry,Explore hotspot button label.,,热点占位 04,,,,,,,
explore,explore.tv,Explore hotspot button label.,,热点占位 05,,,,,,,
explore,explore.back_to_bedroom,Explore hotspot button label.,,热点占位 06,,,,,,,
explore,explore.front_door,Explore hotspot button label.,,热点占位 07,,,,,,,
explore,explore.entry_to_living,Explore hotspot button label.,,热点占位 08,,,,,,,
story,node.prologue_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 01：用于验证剧情文本、换行与热重载。,left,test,neutral,auto,fade,,
story,node.prologue_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 02：用于验证剧情文本、换行与热重载。,center,test,surprised,auto,pop,,
story,node.prologue_003,Story node text and optional portrait cue.,测试角色,中文测试占位文案 03：用于验证剧情文本、换行与热重载。,right,test,neutral,auto,none,,
story,node.bed_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 04：用于验证剧情文本、换行与热重载。,left,test,sad,auto,shake,,
story,node.bed_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 05：用于验证剧情文本、换行与热重载。,left,test,neutral,auto,none,,
story,node.desk_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 06：用于验证剧情文本、换行与热重载。,right,test,surprised,auto,shake,,
story,node.desk_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 07：用于验证剧情文本、换行与热重载。,right,test,neutral,auto,none,,
story,node.living_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 08：用于验证剧情文本、换行与热重载。,center,test,neutral,auto,fade,,
story,node.living_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 09：用于验证剧情文本、换行与热重载。,center,test,sad,auto,shake,,
story,node.entry_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 10：用于验证剧情文本、换行与热重载。,right,test,neutral,auto,fade,,
story,node.entry_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 11：用于验证剧情文本、换行与热重载。,right,test,angry,auto,pop,,
choice,choice.entry_002.01,Choice button text.,,中文选项占位 01,,,,,,,
choice,choice.entry_002.02,Choice button text.,,中文选项占位 02,,,,,,,
choice,choice.entry_002.03,Choice button text.,,中文选项占位 03,,,,,,,
story,node.ending_001,Story node text and optional portrait cue.,测试角色,中文测试占位文案 12：用于验证剧情文本、换行与热重载。,center,test,happy,auto,pop,,
story,node.ending_002,Story node text and optional portrait cue.,测试角色,中文测试占位文案 13：用于验证剧情文本、换行与热重载。,center,test,neutral,auto,fade,,
choice,choice.ending_002.01,Choice button text.,,中文选项占位 04,,,,,,,
choice,choice.ending_002.02,Choice button text.,,中文选项占位 05,,,,,,,
ui,ui.hud.portrait_debug,Portrait debug panel UI text.,,立绘,,,,,,,
ui,ui.settings.portrait_debug,Portrait debug panel UI text.,,立绘调试,,,,,,,
ui,ui.portrait_debug.title,Portrait debug panel UI text.,,立绘调试,,,,,,,
ui,ui.portrait_debug.slot,Portrait debug panel UI text.,,位置：{0},,,,,,,
ui,ui.portrait_debug.character,Portrait debug panel UI text.,,角色：{0},,,,,,,
ui,ui.portrait_debug.expression,Portrait debug panel UI text.,,差分：{0},,,,,,,
ui,ui.portrait_debug.facing,Portrait debug panel UI text.,,朝向：{0},,,,,,,
ui,ui.portrait_debug.animation,Portrait debug panel UI text.,,动画：{0},,,,,,,
ui,ui.portrait_debug.show,Portrait debug panel UI text.,,显示/刷新,,,,,,,
ui,ui.portrait_debug.play_animation,Portrait debug panel UI text.,,播放动画,,,,,,,
ui,ui.portrait_debug.hide_slot,Portrait debug panel UI text.,,隐藏当前槽位,,,,,,,
ui,ui.portrait_debug.hide_all,Portrait debug panel UI text.,,隐藏全部立绘,,,,,,,
