category,key,description,speaker,text,portrait_slot,portrait_character,portrait_expression,portrait_facing,portrait_animation,portrait_path,note
story,node.prologue_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 01：本文表示、折り返し、ホットリロード確認用。,left,test,neutral,auto,fade,,
story,node.prologue_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 02：本文表示、折り返し、ホットリロード確認用。,center,test,surprised,auto,pop,,
story,node.prologue_003,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 03：本文表示、折り返し、ホットリロード確認用。,right,test,neutral,auto,none,,
story,node.bed_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 04：本文表示、折り返し、ホットリロード確認用。,left,test,sad,auto,shake,,
story,node.bed_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 05：本文表示、折り返し、ホットリロード確認用。,left,test,neutral,auto,none,,
story,node.desk_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 06：本文表示、折り返し、ホットリロード確認用。,right,test,surprised,auto,shake,,
story,node.desk_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 07：本文表示、折り返し、ホットリロード確認用。,right,test,neutral,auto,none,,
story,node.living_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 08：本文表示、折り返し、ホットリロード確認用。,center,test,neutral,auto,fade,,
story,node.living_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 09：本文表示、折り返し、ホットリロード確認用。,center,test,sad,auto,shake,,
story,node.entry_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 10：本文表示、折り返し、ホットリロード確認用。,right,test,neutral,auto,fade,,
story,node.entry_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 11：本文表示、折り返し、ホットリロード確認用。,right,test,angry,auto,pop,,
choice,choice.entry_002.01,Choice button text.,,日本語選択肢仮文 01,,,,,,,
choice,choice.entry_002.02,Choice button text.,,日本語選択肢仮文 02,,,,,,,
choice,choice.entry_002.03,Choice button text.,,日本語選択肢仮文 03,,,,,,,
story,node.ending_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 12：本文表示、折り返し、ホットリロード確認用。,center,test,happy,auto,pop,,
story,node.ending_002,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 13：本文表示、折り返し、ホットリロード確認用。,center,test,neutral,auto,fade,,
choice,choice.ending_002.01,Choice button text.,,日本語選択肢仮文 04,,,,,,,
choice,choice.ending_002.02,Choice button text.,,日本語選択肢仮文 05,,,,,,,
ui,ui.hud.portrait_debug,Portrait debug panel UI text.,,立ち絵,,,,,,,
ui,ui.settings.portrait_debug,Portrait debug panel UI text.,,立ち絵デバッグ,,,,,,,
ui,ui.portrait_debug.title,Portrait debug panel UI text.,,立ち絵デバッグ,,,,,,,
ui,ui.portrait_debug.slot,Portrait debug panel UI text.,,位置：{0},,,,,,,
ui,ui.portrait_debug.character,Portrait debug panel UI text.,,キャラ：{0},,,,,,,
ui,ui.portrait_debug.expression,Portrait debug panel UI text.,,差分：{0},,,,,,,
ui,ui.portrait_debug.facing,Portrait debug panel UI text.,,向き：{0},,,,,,,
ui,ui.portrait_debug.animation,Portrait debug panel UI text.,,動き：{0},,,,,,,
ui,ui.portrait_debug.show,Portrait debug panel UI text.,,表示/更新,,,,,,,
ui,ui.portrait_debug.play_animation,Portrait debug panel UI text.,,動きを再生,,,,,,,
ui,ui.portrait_debug.hide_slot,Portrait debug panel UI text.,,現在の位置を隠す,,,,,,,
ui,ui.portrait_debug.hide_all,Portrait debug panel UI text.,,すべての立ち絵を隠す,,,,,,,
explore,explore.bathroom,Explore hotspot button label.,,洗面所へ,,,,,,,
explore,explore.bathroom_to_entry,Explore hotspot button label.,,玄関へ戻る,,,,,,,
explore,explore.mirror,Explore hotspot button label.,,鏡,,,,,,,
story,node.mirror_001,Story node text and optional portrait cue.,テスト役,日本語テスト仮文 14：鏡にはぼやけた輪郭だけが返ってくる。,center,test,surprised,auto,shake,,
